phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771903200.726,0.081,39,0,0,0,0,0
business,1771903201.686,1.082,128,0,0,0,0,0
business,1771903202.687,2.082,128,0,0,0,0,0
business,1771903204.588,3.082,128,128,128,0,0,0
business,1771903205.588,4.082,64,192,64,0,0,0
business,1771903206.588,5.082,128,256,64,0,0,0
business,1771903207.589,6.083,128,256,0,0,0,0
business,1771903208.589,7.083,128,384,128,0,0,0
business,1771903209.589,8.083,7,505,121,0,0,0
business,1771903210.590,9.084,128,512,7,0,0,0
business,1771903211.590,10.084,5,640,128,0,0,0
business,1771903212.589,11.084,128,640,0,0,0,0
business,1771903213.588,12.084,128,768,128,0,0,0
business,1771903214.590,13.084,128,768,0,0,0,0
business,1771903215.657,14.094,105,896,128,0,0,0
business,1771903216.601,15.095,128,896,0,0,0,0
business,1771903217.646,16.103,128,1024,128,0,0,0
business,1771903218.662,17.112,128,1024,0,0,0,0
business,1771903219.619,18.113,128,1024,0,0,0,0
business,1771903220.646,19.113,75,1152,128,0,0,0
business,1771903221.620,20.113,128,1152,0,0,0,0
business,1771903222.620,21.114,128,1152,0,0,0,0
business,1771903223.621,22.114,128,1280,128,0,0,0
business,1771903224.621,23.114,128,1280,0,0,0,0
business,1771903225.621,24.115,128,1408,128,0,0,0
business,1771903226.621,25.115,128,1408,0,0,0,0
business,1771903227.654,26.115,128,1536,128,0,0,0
business,1771903228.621,27.115,128,1536,0,0,0,0
business,1771903229.622,28.116,54,1611,75,1,0,0
business,1771903230.688,29.116,128,1664,53,0,0,0
business,1771903231.622,30.116,128,1664,0,0,0,0
business,1771903232.649,31.121,128,1792,128,0,0,0
business,1771903233.629,32.122,128,1792,0,0,0,0
business,1771903234.629,33.122,128,1792,0,0,0,0
business,1771903235.628,34.122,128,1920,128,0,0,0
business,1771903236.655,35.123,128,1920,0,0,0,0
business,1771903238.516,36.127,128,2048,128,0,0,0
business,1771903239.511,37.128,128,2048,0,0,0,0
business,1771903240.511,38.128,128,2048,0,0,0,0
business,1771903241.512,39.128,0,2176,128,0,0,0
business,1771903242.512,40.129,128,2176,0,0,0,0
business,1771903243.511,41.129,128,2176,0,0,0,0
business,1771903244.512,42.129,128,2304,128,0,0,0
business,1771903245.512,43.129,128,2304,0,0,0,0
business,1771903246.512,44.129,128,2432,128,0,0,0
business,1771903247.513,45.130,128,2432,0,0,0,0
business,1771903248.513,46.130,128,2560,128,0,0,0
business,1771903249.514,47.130,128,2560,0,0,0,0
business,1771903250.514,48.130,128,2688,128,0,0,0
business,1771903251.514,49.130,7,2809,121,0,0,0
business,1771903252.512,50.131,128,2816,7,0,0,0
business,1771903253.514,51.131,128,2816,0,0,0,0
business,1771903254.567,52.150,128,2944,128,0,0,0
